Date,Customer name,review,car_model,sentiment,issues
16-05-2024,Nikhil Evans,"The pickup process was smooth and the staff greeted me with genuine warmth. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. The fuel efficiency saved me money on a long road trip across three states. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I waited nearly forty minutes in line because only one counter was open at pickup. The tank was only three-quarters full even though they claimed it was topped off. There was an unexplained additional charge on my bill that I had to dispute. I loved the peppy acceleration, especially when merging onto the highway.",Audi A4,positive,"['late_delivery', 'staff_behavior']"
23-02-2025,Isha Taylor,"The air-conditioning emitted a musty odor that never completely went away during the rental. Despite reserving an automatic, I was handed a manual and told no automatics were available. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. I waited nearly forty minutes in line because only one counter was open at pickup. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Their mobile app worked, although it occasionally froze during the reservation process.",Chevrolet Malibu,negative,"['late_delivery', 'car_condition', 'cleanliness']"
13-06-2024,Liam Williams,"Pickup location signage was clear enough, though a second sign near the exit would help newcomers. Returning the car was effortless; it took less than five minutes to finalize everything. I appreciated the transparent pricing; there were no hidden fees on my final invoice. I was impressed by how spotless the interior and exterior of the vehicle were. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. I loved the peppy acceleration, especially when merging onto the highway. Fuel economy matched the manufacturer's rating; nothing surprising there. The fuel efficiency saved me money on a long road trip across three states.",Audi A4,positive,['billing']
01-01-2025,Zane Johansson,"The windshield wipers were old and smeared rain, making night driving stressful. Ride comfort was acceptable on city streets but a bit firm over potholes. I waited nearly forty minutes in line because only one counter was open at pickup. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. I was impressed by how spotless the interior and exterior of the vehicle were. The car felt brand-new, with no rattles or strange noises even at highway speed. Returning the car was effortless; it took less than five minutes to finalize everything. There was an unexplained additional charge on my bill that I had to dispute. I loved the peppy acceleration, especially when merging onto the highway.",Volkswagen Jetta,positive,['late_delivery']
26-02-2024,Uma Diaz,"The fuel efficiency saved me money on a long road trip across three states. I was impressed by how spotless the interior and exterior of the vehicle were. Returning the car was effortless; it took less than five minutes to finalize everything. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The car felt brand-new, with no rattles or strange noises even at highway speed. Acceleration was average; it performed as expected for a mid-size sedan. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The windshield wipers were old and smeared rain, making night driving stressful. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly.",Jeep Wrangler,negative,"['car_condition', 'staff_behavior']"
28-12-2024,Frank Ivanov,"Their mobile app worked, although it occasionally froze during the reservation process. I waited nearly forty minutes in line because only one counter was open at pickup. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The tank was only three-quarters full even though they claimed it was topped off. The air-conditioning emitted a musty odor that never completely went away during the rental. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Despite reserving an automatic, I was handed a manual and told no automatics were available. The trunk space was adequate for two large suitcases but nothing extraordinary.",Hyundai Elantra,negative,"['late_delivery', 'car_condition', 'cleanliness', 'staff_behavior']"
20-11-2024,Xander Ivanov,"Customer service followed up via email to make sure I was satisfied, which felt thoughtful. Returning the car was effortless; it took less than five minutes to finalize everything. The car felt brand-new, with no rattles or strange noises even at highway speed. The pickup process was smooth and the staff greeted me with genuine warmth. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. I loved the peppy acceleration, especially when merging onto the highway. Road noise was noticeable on rough asphalt, but conversation inside remained possible. The company offered me a free upgrade, and it genuinely enhanced my vacation experience.",Honda Civic,positive,['staff_behavior']
05-12-2024,Olga Johansson,"Their mobile app worked, although it occasionally froze during the reservation process. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. The car felt brand-new, with no rattles or strange noises even at highway speed. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The seats offered decent lumbar support but could use softer cushioning for long drives. The pickup process was smooth and the staff greeted me with genuine warmth. Returning the car was effortless; it took less than five minutes to finalize everything. I loved the peppy acceleration, especially when merging onto the highway.",Jeep Wrangler,positive,"['staff_behavior', 'billing']"
06-03-2025,Nikhil Taylor,"I loved the peppy acceleration, especially when merging onto the highway. There was an unexplained additional charge on my bill that I had to dispute. Despite reserving an automatic, I was handed a manual and told no automatics were available. Their mobile app worked, although it occasionally froze during the reservation process. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. The windshield wipers were old and smeared rain, making night driving stressful. The car felt brand-new, with no rattles or strange noises even at highway speed. The fuel efficiency saved me money on a long road trip across three states.",Toyota Corolla,positive,['other']
03-01-2024,Uma Singh,"Their mobile app worked, although it occasionally froze during the reservation process. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The windshield wipers were old and smeared rain, making night driving stressful. The air-conditioning emitted a musty odor that never completely went away during the rental. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Fuel economy matched the manufacturer's rating; nothing surprising there.",Subaru Impreza,negative,"['car_condition', 'cleanliness', 'staff_behavior']"
13-05-2025,Rina Johansson,"Despite reserving an automatic, I was handed a manual and told no automatics were available. There was an unexplained additional charge on my bill that I had to dispute. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The seats offered decent lumbar support but could use softer cushioning for long drives. Road noise was noticeable on rough asphalt, but conversation inside remained possible. The windshield wipers were old and smeared rain, making night driving stressful. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly.",Hyundai Elantra,negative,"['car_condition', 'staff_behavior']"
05-01-2025,Bob Zhou,"Despite reserving an automatic, I was handed a manual and told no automatics were available. I was impressed by how spotless the interior and exterior of the vehicle were. I waited nearly forty minutes in line because only one counter was open at pickup. The pickup process was smooth and the staff greeted me with genuine warmth. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. Acceleration was average; it performed as expected for a mid-size sedan. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. There was an unexplained additional charge on my bill that I had to dispute.",Toyota Corolla,positive,"['late_delivery', 'staff_behavior']"
05-11-2024,Kara Singh,"The windshield wipers were old and smeared rain, making night driving stressful. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Road noise was noticeable on rough asphalt, but conversation inside remained possible. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. I waited nearly forty minutes in line because only one counter was open at pickup. The trunk space was adequate for two large suitcases but nothing extraordinary. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Despite reserving an automatic, I was handed a manual and told no automatics were available.",Ford Focus,negative,"['late_delivery', 'car_condition']"
02-11-2024,Wendy Anderson,"The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The fuel efficiency saved me money on a long road trip across three states. Acceleration was average; it performed as expected for a mid-size sedan. The car felt brand-new, with no rattles or strange noises even at highway speed. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. Returning the car was effortless; it took less than five minutes to finalize everything. I appreciated the transparent pricing; there were no hidden fees on my final invoice. Pickup location signage was clear enough, though a second sign near the exit would help newcomers.",Kia Optima,positive,['billing']
29-05-2024,Simon Fischer,"The tank was only three-quarters full even though they claimed it was topped off. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Fuel economy matched the manufacturer's rating; nothing surprising there. I waited nearly forty minutes in line because only one counter was open at pickup. The windshield wipers were old and smeared rain, making night driving stressful. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Audi A4,negative,"['late_delivery', 'car_condition', 'staff_behavior']"
17-03-2024,Xander Zhou,"The windshield wipers were old and smeared rain, making night driving stressful. I was impressed by how spotless the interior and exterior of the vehicle were. There was an unexplained additional charge on my bill that I had to dispute. I loved the peppy acceleration, especially when merging onto the highway. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The infotainment system had standard features, though the screen was smaller than newer models. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date.",Tesla Model 3,positive,['other']
17-01-2025,Kara Anderson,"Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The seats offered decent lumbar support but could use softer cushioning for long drives. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The tank was only three-quarters full even though they claimed it was topped off. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. There was an unexplained additional charge on my bill that I had to dispute. The fuel efficiency saved me money on a long road trip across three states. I was impressed by how spotless the interior and exterior of the vehicle were. The pickup process was smooth and the staff greeted me with genuine warmth.",Chevrolet Malibu,positive,['staff_behavior']
19-02-2024,Kara Xu,"I waited nearly forty minutes in line because only one counter was open at pickup. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The seats offered decent lumbar support but could use softer cushioning for long drives. The pickup process was smooth and the staff greeted me with genuine warmth. Returning the car was effortless; it took less than five minutes to finalize everything. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. The windshield wipers were old and smeared rain, making night driving stressful. The air-conditioning emitted a musty odor that never completely went away during the rental. I loved the peppy acceleration, especially when merging onto the highway.",Ford Focus,positive,"['late_delivery', 'cleanliness', 'staff_behavior']"
06-03-2025,Mona Chowdhury,"Acceleration was average; it performed as expected for a mid-size sedan. I loved the peppy acceleration, especially when merging onto the highway. The car felt brand-new, with no rattles or strange noises even at highway speed. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The fuel efficiency saved me money on a long road trip across three states. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Road noise was noticeable on rough asphalt, but conversation inside remained possible. The pickup process was smooth and the staff greeted me with genuine warmth.",Toyota Corolla,positive,['staff_behavior']
14-08-2024,Victor Xu,"The infotainment system had standard features, though the screen was smaller than newer models. The pickup process was smooth and the staff greeted me with genuine warmth. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The fuel efficiency saved me money on a long road trip across three states. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Returning the car was effortless; it took less than five minutes to finalize everything. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The car felt brand-new, with no rattles or strange noises even at highway speed. The air-conditioning emitted a musty odor that never completely went away during the rental.",Hyundai Elantra,positive,"['car_condition', 'cleanliness', 'staff_behavior']"
16-02-2024,Liam O'Neil,"The fuel efficiency saved me money on a long road trip across three states. Ride comfort was acceptable on city streets but a bit firm over potholes. Returning the car was effortless; it took less than five minutes to finalize everything. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. The trunk space was adequate for two large suitcases but nothing extraordinary. The car felt brand-new, with no rattles or strange noises even at highway speed. The pickup process was smooth and the staff greeted me with genuine warmth. I appreciated the transparent pricing; there were no hidden fees on my final invoice.",Mazda 3,positive,"['staff_behavior', 'billing']"
25-03-2025,Frank Khan,"I loved the peppy acceleration, especially when merging onto the highway. I waited nearly forty minutes in line because only one counter was open at pickup. There was an unexplained additional charge on my bill that I had to dispute. The fuel efficiency saved me money on a long road trip across three states. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The tank was only three-quarters full even though they claimed it was topped off. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. Road noise was noticeable on rough asphalt, but conversation inside remained possible.",Kia Optima,positive,"['late_delivery', 'staff_behavior']"
03-12-2024,Grace Hughes,"The tank was only three-quarters full even though they claimed it was topped off. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Acceleration was average; it performed as expected for a mid-size sedan. Road noise was noticeable on rough asphalt, but conversation inside remained possible. There was an unexplained additional charge on my bill that I had to dispute. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Despite reserving an automatic, I was handed a manual and told no automatics were available.",Hyundai Elantra,negative,"['car_condition', 'staff_behavior']"
13-02-2024,Javier Johansson,"Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. The windshield wipers were old and smeared rain, making night driving stressful. Despite reserving an automatic, I was handed a manual and told no automatics were available. The tank was only three-quarters full even though they claimed it was topped off. The infotainment system had standard features, though the screen was smaller than newer models. The air-conditioning emitted a musty odor that never completely went away during the rental. Exterior styling was plain, but I suppose function matters more than form for a rental. I waited nearly forty minutes in line because only one counter was open at pickup.",Audi A4,negative,"['late_delivery', 'car_condition', 'cleanliness']"
27-02-2025,Quinn López,"The trunk space was adequate for two large suitcases but nothing extraordinary. The windshield wipers were old and smeared rain, making night driving stressful. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. There was an unexplained additional charge on my bill that I had to dispute. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The tank was only three-quarters full even though they claimed it was topped off. The infotainment system had standard features, though the screen was smaller than newer models. Despite reserving an automatic, I was handed a manual and told no automatics were available.",Hyundai Elantra,negative,['car_condition']
17-02-2025,Carla Fischer,"The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The air-conditioning emitted a musty odor that never completely went away during the rental. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The windshield wipers were old and smeared rain, making night driving stressful. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Despite reserving an automatic, I was handed a manual and told no automatics were available. The seats offered decent lumbar support but could use softer cushioning for long drives. Pickup location signage was clear enough, though a second sign near the exit would help newcomers.",BMW 3 Series,negative,"['car_condition', 'cleanliness', 'staff_behavior']"
31-05-2025,Bob Taylor,"Road noise was noticeable on rough asphalt, but conversation inside remained possible. I waited nearly forty minutes in line because only one counter was open at pickup. Ride comfort was acceptable on city streets but a bit firm over potholes. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Despite reserving an automatic, I was handed a manual and told no automatics were available. The tank was only three-quarters full even though they claimed it was topped off. The air-conditioning emitted a musty odor that never completely went away during the rental.",Hyundai Elantra,negative,"['late_delivery', 'cleanliness', 'staff_behavior']"
06-09-2024,Tara Ivanov,"There was an unexplained additional charge on my bill that I had to dispute. Despite reserving an automatic, I was handed a manual and told no automatics were available. Their mobile app worked, although it occasionally froze during the reservation process. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I waited nearly forty minutes in line because only one counter was open at pickup. The tank was only three-quarters full even though they claimed it was topped off. The windshield wipers were old and smeared rain, making night driving stressful. Pickup location signage was clear enough, though a second sign near the exit would help newcomers.",Kia Optima,negative,"['late_delivery', 'staff_behavior']"
24-08-2024,Carla Nakamura,"I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. I loved the peppy acceleration, especially when merging onto the highway. The car felt brand-new, with no rattles or strange noises even at highway speed. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Fuel economy matched the manufacturer's rating; nothing surprising there. The pickup process was smooth and the staff greeted me with genuine warmth. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. I waited nearly forty minutes in line because only one counter was open at pickup.",Chevrolet Malibu,positive,"['late_delivery', 'car_condition', 'staff_behavior']"
16-07-2024,Rina Taylor,"Despite reserving an automatic, I was handed a manual and told no automatics were available. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. The fuel efficiency saved me money on a long road trip across three states. The car felt brand-new, with no rattles or strange noises even at highway speed. Exterior styling was plain, but I suppose function matters more than form for a rental. The tank was only three-quarters full even though they claimed it was topped off. I was impressed by how spotless the interior and exterior of the vehicle were. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet.",Toyota Corolla,negative,['staff_behavior']
20-01-2025,Yara Singh,"Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The tank was only three-quarters full even though they claimed it was topped off. The windshield wipers were old and smeared rain, making night driving stressful. I waited nearly forty minutes in line because only one counter was open at pickup. I loved the peppy acceleration, especially when merging onto the highway. The fuel efficiency saved me money on a long road trip across three states. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Ride comfort was acceptable on city streets but a bit firm over potholes.",BMW 3 Series,positive,['late_delivery']
11-02-2025,Victor Evans,"There was an unexplained additional charge on my bill that I had to dispute. Their mobile app worked, although it occasionally froze during the reservation process. The trunk space was adequate for two large suitcases but nothing extraordinary. Despite reserving an automatic, I was handed a manual and told no automatics were available. The tank was only three-quarters full even though they claimed it was topped off. The windshield wipers were old and smeared rain, making night driving stressful. The air-conditioning emitted a musty odor that never completely went away during the rental. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning.",Ford Focus,negative,"['car_condition', 'cleanliness']"
12-08-2024,Tara Anderson,"The windshield wipers were old and smeared rain, making night driving stressful. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The trunk space was adequate for two large suitcases but nothing extraordinary. I waited nearly forty minutes in line because only one counter was open at pickup. Ride comfort was acceptable on city streets but a bit firm over potholes. The tank was only three-quarters full even though they claimed it was topped off. There was an unexplained additional charge on my bill that I had to dispute. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet.",BMW 3 Series,negative,"['late_delivery', 'staff_behavior']"
07-07-2024,Bob Martin,"I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Despite reserving an automatic, I was handed a manual and told no automatics were available. The windshield wipers were old and smeared rain, making night driving stressful. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. The tank was only three-quarters full even though they claimed it was topped off. The infotainment system had standard features, though the screen was smaller than newer models. The air-conditioning emitted a musty odor that never completely went away during the rental. The seats offered decent lumbar support but could use softer cushioning for long drives.",Volkswagen Jetta,negative,"['cleanliness', 'staff_behavior']"
24-07-2024,Wendy Yilmaz,"The air-conditioning emitted a musty odor that never completely went away during the rental. I waited nearly forty minutes in line because only one counter was open at pickup. There was an unexplained additional charge on my bill that I had to dispute. Customer support placed me on hold for twenty minutes when I called about a tire pressure warning. Road noise was noticeable on rough asphalt, but conversation inside remained possible. Despite reserving an automatic, I was handed a manual and told no automatics were available. The seats offered decent lumbar support but could use softer cushioning for long drives. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Ford Focus,negative,"['late_delivery', 'car_condition', 'cleanliness']"
21-03-2024,Mona López,"The infotainment system had standard features, though the screen was smaller than newer models. The air-conditioning emitted a musty odor that never completely went away during the rental. The exterior had several noticeable scratches that the agent failed to mark on the inspection sheet. Despite reserving an automatic, I was handed a manual and told no automatics were available. Acceleration was average; it performed as expected for a mid-size sedan. The windshield wipers were old and smeared rain, making night driving stressful. The tank was only three-quarters full even though they claimed it was topped off. I found potato chip crumbs under the seat, suggesting the cleaning was rushed.",Honda Civic,negative,"['cleanliness', 'staff_behavior']"
13-07-2024,Bob Nakamura,"The infotainment system had standard features, though the screen was smaller than newer models. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Their shuttle from the airport took thirty minutes to arrive, delaying my schedule significantly. The windshield wipers were old and smeared rain, making night driving stressful. The air-conditioning emitted a musty odor that never completely went away during the rental. Ride comfort was acceptable on city streets but a bit firm over potholes. There was an unexplained additional charge on my bill that I had to dispute. I waited nearly forty minutes in line because only one counter was open at pickup.",Kia Optima,negative,"['late_delivery', 'cleanliness']"
24-01-2025,Rina Nakamura,"I loved the peppy acceleration, especially when merging onto the highway. Bluetooth connected instantly and the in-car navigation was intuitive and up-to-date. Pickup location signage was clear enough, though a second sign near the exit would help newcomers. Exterior styling was plain, but I suppose function matters more than form for a rental. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. The car felt brand-new, with no rattles or strange noises even at highway speed. The fuel efficiency saved me money on a long road trip across three states. Returning the car was effortless; it took less than five minutes to finalize everything.",Jeep Wrangler,positive,['other']
30-06-2025,Hugo Anderson,"The windshield wipers were old and smeared rain, making night driving stressful. Exterior styling was plain, but I suppose function matters more than form for a rental. The air-conditioning emitted a musty odor that never completely went away during the rental. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. The tank was only three-quarters full even though they claimed it was topped off. There was an unexplained additional charge on my bill that I had to dispute. Fuel economy matched the manufacturer's rating; nothing surprising there. I waited nearly forty minutes in line because only one counter was open at pickup.",Audi A4,negative,"['late_delivery', 'cleanliness']"
13-04-2024,Isha Diaz,"The company offered me a free upgrade, and it genuinely enhanced my vacation experience. Fuel economy matched the manufacturer's rating; nothing surprising there. The fuel efficiency saved me money on a long road trip across three states. The seats offered decent lumbar support but could use softer cushioning for long drives. I was impressed by how spotless the interior and exterior of the vehicle were. Customer service followed up via email to make sure I was satisfied, which felt thoughtful. I loved the peppy acceleration, especially when merging onto the highway. Returning the car was effortless; it took less than five minutes to finalize everything.",Ford Focus,positive,['other']
20-06-2024,Wendy Nakamura,"I loved the peppy acceleration, especially when merging onto the highway. Returning the car was effortless; it took less than five minutes to finalize everything. Despite reserving an automatic, I was handed a manual and told no automatics were available. I was impressed by how spotless the interior and exterior of the vehicle were. Exterior styling was plain, but I suppose function matters more than form for a rental. There was an unexplained additional charge on my bill that I had to dispute. I appreciated the transparent pricing; there were no hidden fees on my final invoice. The tank was only three-quarters full even though they claimed it was topped off. I waited nearly forty minutes in line because only one counter was open at pickup.",Volkswagen Jetta,negative,"['late_delivery', 'billing']"
23-05-2024,Victor Evans,"The windshield wipers were old and smeared rain, making night driving stressful. The infotainment system had standard features, though the screen was smaller than newer models. Despite reserving an automatic, I was handed a manual and told no automatics were available. I waited nearly forty minutes in line because only one counter was open at pickup. The tank was only three-quarters full even though they claimed it was topped off. There was an unexplained additional charge on my bill that I had to dispute. I found potato chip crumbs under the seat, suggesting the cleaning was rushed. Acceleration was average; it performed as expected for a mid-size sedan.",Toyota Corolla,negative,['late_delivery']
